Question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation
"Which of these best describes an array?",a) A data structure that shows a hierarchical behavior
b) Container of objects of similar types
c) Arrays are immutable once initialised
d) Array is not a data structure,"b",""
"How do you initialize an array in C?",a) int arr[3] = (1,2,3);
b) int arr(3) = {1,2,3};
c) int arr[3] = {1,2,3};
d) int arr(3) = (1,2,3);,"c",""
"How do you instantiate an array in Java?",a) int arr[] = new int(3);
b) int arr[];
c) int arr[] = new int[3];
d) int arr() = new int(3);,"c",""
"Which of the following is the correct way to declare a multidimensional array in Java?",a) int[] arr;
b) int arr[[]];
c) int[][]arr;
d) int[[]] arr;,"c",""
"What is the output of the following Java code?",a) 3 and 5
b) 5 and 3
c) 2 and 4
d) 4 and 2,"a",""
"What is the output of the following Java code?",a) 4
b) 5
c) ArrayIndexOutOfBoundsException
d) InavlidInputException,"c",""
"When does the ArrayIndexOutOfBoundsException occur?",a) Compile-time
b) Run-time
c) Not an error
d) Not an exception at all,"b",""
"Which of the following concepts make extensive use of arrays?",a) Binary trees
b) Scheduling of processes
c) Caching
d) Spatial locality,"d",""
"What are the advantages of arrays?",a) Objects of mixed data types can be stored
b) Elements in an array cannot be sorted
c) Index of first element of an array is 1
d) Easier to store elements of same data type,"d",""
"What are the disadvantages of arrays?",a) Data structure like queue or stack cannot be implemented
b) There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size
c) Index value of an array can be negative
d) Elements are sequentially accessed,"b",""
"Assuming int is of 4bytes, what is the size of int arr[15];?",a) 15
b) 19
c) 11
d) 60,"d",""
"In general, the index of the first element in an array is __________",a) 0
b) -1
c) 2
d) 1,"a",""
"Elements in an array are accessed _____________",a) randomly
b) sequentially
c) exponentially
d) logarithmically,"a",""
"Process of inserting an element in stack is called ____________",a) Create
b) Push
c) Evaluation
d) Pop,"b",""
"Process of removing an element from stack is called __________",a) Create
b) Push
c) Evaluation
d) Pop,"d",""
"In a stack, if a user tries to remove an element from an empty stack it is called _________",a) Underflow
b) Empty collection
c) Overflow
d) Garbage Collection,"a",""
"Pushing an element into stack already having five elements and stack size of 5, then stack becomes ___________",a) Overflow
b) Crash
c) Underflow
d) User flow,"a",""
"Entries in a stack are “ordered”. What is the meaning of this statement?",a) A collection of stacks is sortable
b) Stack entries may be compared with the ‘<‘ operation
c) The entries are stored in a linked list
d) There is a Sequential entry that is one by one,"d",""
"Which of the following is not the application of stack?",a) A parentheses balancing program
b) Tracking of local variables at run time
c) Compiler Syntax Analyzer
d) Data Transfer between two asynchronous process,"d",""
"Consider the usual algorithm for determining whether a sequence of parentheses is balanced. The maximum number of parentheses that appear on the stack AT ANY ONE TIME when the algorithm analyzes: (()(())(()))?",a) 1
b) 2
c) 3
d) 4 or more,"c",""
"Consider the usual algorithm for determining whether a sequence of parentheses is balanced. Suppose that you run the algorithm on a sequence that contains 2 left parentheses and 3 right parentheses (in some order). The maximum number of parentheses that appear on the stack AT ANY ONE TIME during the computation?",a) 1
b) 2
c) 3
d) 4 or more,"b",""
"What is the value of the postfix expression 6 3 2 4 + – *?",a) 1
b) 40
c) 74
d) -18,"d",""
"Here is an infix expression: 4 + 3*(6*3-12). Suppose that we are using the usual stack algorithm to convert the expression from infix to postfix notation. The maximum number of symbols that will appear on the stack AT ONE TIME during the conversion of this expression?",a) 1
b) 2
c) 3
d) 4,"d",""
"The postfix form of the expression (A+ B)*(C*D- E)*F / G is?",a) AB+ CD*E – FG /**
b) AB + CD* E – F **G /
c) AB + CD* E – *F *G /
d) AB + CDE * – * F *G /,"c",""
"The data structure required to check whether an expression contains a balanced parenthesis is?",a) Stack
b) Queue
c) Array
d) Tree,"a",""
"What data structure would you mostly likely see in non recursive implementation of a recursive algorithm?",a) Linked List
b) Stack
c) Queue
d) Tree,"b",""
"The process of accessing data stored in a serial access memory is similar to manipulating data on a ________",a) Heap
b) Binary Tree
c) Array
d) Stack,"d",""
"The postfix form of A*B+C/D is?",a) *AB/CD+
b) AB*CD/+
c) A*BC+/D
d) ABCD+/*,"b",""
"Which data structure is needed to convert infix notation to postfix notation?",a) Branch
b) Tree
c) Queue
d) Stack,"d",""
"The prefix form of A-B/ (C * D ^ E) is?",a) -/*^ACBDE
b) -ABCD*^DE
c) -A/B*C^DE
d) -A/BC*^DE,"c",""
"What is the result of the following operation?",a) X
b) X+S
c) S
d) XS,"a",""
"The prefix form of an infix expression (p + q) – (r * t) is?",a) + pq – *rt
b) – +pqr * t
c) – +pq * rt
d) – + * pqrt,"c",""
"Which data structure is used for implementing recursion?",a) Queue
b) Stack
c) Array
d) List,"b",""
"The result of evaluating the postfix expression 5, 4, 6, +, *, 4, 9, 3, /, +, * is?",a) 600
b) 350
c) 650
d) 588,"b",""
"Convert the following infix expressions into its equivalent postfix expressions.",a) (A B D ⋀ + E F – / G +)
b) (A B D +⋀ E F – / G +)
c) (A B D ⋀ + E F/- G +)
d) (A B D  E F + ⋀ / – G +),"a",""
"Convert the following Infix expression to Postfix form using a stack.",a) xyz*+pq*r+s*+
b) xyz*+pq*r+s+*
c) xyz+*pq*r+s*+
d) xyzp+**qr+s*+,"a",""
"Which of the following statement(s) about stack data structure is/are NOT correct?",a) Linked List are used for implementing Stacks
b) Top of the Stack always contain the new node
c) Stack is the FIFO data structure
d) Null link is present in the last node at the bottom of the stack,"c",""
"Consider the following operation performed on a stack of size 5.",a) 1
b) 2
c) 3
d) 4,"a",""
"Which of the following is not an inherent application of stack?",a) Reversing a string
b) Evaluation of postfix expression
c) Implementation of recursion
d) Job scheduling,"d",""
"The type of expression in which operator succeeds its operands is?",a) Infix Expression
b) Prefix Expression
c) Postfix Expression
d) Both Prefix and Postfix Expressions,"c",""
"Assume that the operators +,-, X are left associative and ^ is right associative. The order of precedence (from highest to lowest) is ^, X, +, -. The postfix expression for the infix expression a + b X c – d ^ e ^ f is?",a) abc X+ def ^^ –
b) abc X+ de^f^ –
c) ab+c Xd – e ^f^
d) -+aXbc^ ^def,"b",""
"If the elements “A”, “B”, “C” and “D” are placed in a stack and are deleted one at a time, what is the order of removal?",a) ABCD
b) DCBA
c) DCAB
d) ABDC,"b",""
"A linear list of elements in which deletion can be done from one end (front) and insertion can take place only at the other end (rear) is known as _____________",a) Queue
b) Stack
c) Tree
d) Linked list,"a",""
"The data structure required for Breadth First Traversal on a graph is?",a) Stack
b) Array
c) Queue
d) Tree,"c",""
"A queue follows __________",a) FIFO (First In First Out) principle
b) LIFO (Last In First Out) principle
c) Ordered array
d) Linear tree,"a",""
"Circular Queue is also known as ________",a) Ring Buffer
b) Square Buffer
c) Rectangle Buffer
d) Curve Buffer,"a",""
"If the elements “A”, “B”, “C” and “D” are placed in a queue and are deleted one at a time, in what order will they be removed?",a) ABCD
b) DCBA
c) DCAB
d) ABDC,"a",""
"A data structure in which elements can be inserted or deleted at/from both ends but not in the middle is?",a) Queue
b) Circular queue
c) Dequeue
d) Priority queue,"c",""
"A normal queue, if implemented using an array of size MAX_SIZE, gets full when?",a) Rear = MAX_SIZE – 1
b) Front = (rear + 1)mod MAX_SIZE
c) Front = rear + 1
d) Rear = front,"a",""
"Queues serve major role in ______________",a) Simulation of recursion
b) Simulation of arbitrary linked list
c) Simulation of limited resource allocation
d) Simulation of heap sort,"c",""
"Which of the following is not the type of queue?",a) Ordinary queue
b) Single ended queue
c) Circular queue
d) Priority queue,"b",""
"A linear collection of data elements where the linear node is given by means of pointer is called?",a) Linked list
b) Node list
c) Primitive list
d) Unordered list,"a",""
"Consider an implementation of unsorted singly linked list. Suppose it has its representation with a head pointer only. Given the representation, which of the following operation can be implemented in O(1) time?",a) I and II
b) I and III
c) I, II and III
d) I, II and IV,"b",""
"In linked list each node contains a minimum of two fields. One field is data field to store the data second field is?",a) Pointer to character
b) Pointer to integer
c) Pointer to node
d) Node,"c",""
"What would be the asymptotic time complexity to add a node at the end of singly linked list, if the pointer is initially pointing to the head of the list?",a) O(1)
b) O(n)
c) θ(n)
d) θ(1),"c",""
"What would be the asymptotic time complexity to insert an element at the front of the linked list (head is known)?",a) O(1)
b) O(n)
c) O(n2)
d) O(n3),"a",""
"What would be the asymptotic time complexity to find an element in the linked list?",a) O(1)
b) O(n)
c) O(n2)
d) O(n4),"b",""
